tmlprm,tmlversi,tmldata,tmlnobuk,tmlkode1,tmlkode2,tmlkode3,tmlkode4,tmlket1,tmlket2,tmlket3,tmlket4,tmlkode5,tmlkode6,tmlyt,tmlcrtusr,tmlscr,tmltotal1,tmltotal2,tmltotal3,tmltotal4,tmltotal5
1528,2,DTTMPLAP,RUGILABA,BLN,411.01.4322,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1530,3,DTTMPLAP,RUGILABA,BLN,411.01.4323,TDK,,,,,ASURANSI,,,,,,0.0,0.0,0.0,0.0,0.0
1532,3,DTTMPLAP,RUGILABA,BLN,411.01.4324,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1534,3,DTTMPLAP,RUGILABA,BLN,411.01.4325,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1536,3,DTTMPLAP,RUGILABA,BLN,411.01.4326,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1538,3,DTTMPLAP,RUGILABA,BLN,411.01.4401,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1540,3,DTTMPLAP,RUGILABA,BLN,411.01.4402,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1542,0,DTTMPLAP,RUGILABA,BLN,411.01.4403,,A1002,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1544,0,DTTMPLAP,RUGILABA,BLN,411.01.4501,,C0001,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1546,2,DTTMPLAP,RUGILABA,BLN,411.01.4502,,C0001,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1548,1,DTTMPLAP,RUGILABA,BLN,411.01.4503,,C0003,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1550,0,DTTMPLAP,RUGILABA,BLN,411.01.4504,,C0001,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1552,4,DTTMPLAP,RUGILABA,BLN,411.01.4601,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1554,1,DTTMPLAP,RUGILABA,BLN,411.01.4602,,A3001,,TDK KONTRIBUS,,LABA,,,Y,,,0.0,0.0,0.0,0.0,0.0
1556,2,DTTMPLAP,RUGILABA,BLN,411.01.4701,,C0002,,TDK KONTRIBUS,,NPL,,,Y,,,0.0,0.0,0.0,0.0,0.0
1558,1,DTTMPLAP,RUGILABA,BLN,411.01.4702,TDK,C0001,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1560,3,DTTMPLAP,RUGILABA,BLN,411.01.4703,TDK,C0002,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1562,0,DTTMPLAP,RUGILABA,BLN,411.01.4704,,C0002,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1564,3,DTTMPLAP,RUGILABA,BLN,411.01.4705,,D0002,AHASS,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1566,0,DTTMPLAP,RUGILABA,BLN,411.01.4706,,C0002,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1568,3,DTTMPLAP,RUGILABA,BLN,411.01.4707,TDK,C0002,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1570,1,DTTMPLAP,RUGILABA,BLN,411.01.4708,,C0002,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1572,1,DTTMPLAP,RUGILABA,BLN,411.01.4801,,C0003,,TDK KONTRIBUS,GAB_SISPOK,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1574,3,DTTMPLAP,RUGILABA,BLN,411.01.5001,,C0002,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1576,3,DTTMPLAP,RUGILABA,BLN,411.01.5002,,C0002,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1578,3,DTTMPLAP,RUGILABA,BLN,411.01.5003,,C0002,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1580,3,DTTMPLAP,RUGILABA,BLN,411.01.5004,,C0002,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1582,3,DTTMPLAP,RUGILABA,BLN,411.01.5005,,C0002,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1584,4,DTTMPLAP,RUGILABA,BLN,411.01.5006,,C0002,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1586,4,DTTMPLAP,RUGILABA,BLN,411.01.5007,,C0002,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1588,3,DTTMPLAP,RUGILABA,BLN,411.01.5008,,C0002,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1590,4,DTTMPLAP,RUGILABA,BLN,411.01.5009,,C0002,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1592,3,DTTMPLAP,RUGILABA,BLN,411.01.5010,,C0002,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1594,3,DTTMPLAP,RUGILABA,BLN,411.01.5011,,C0002,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1596,4,DTTMPLAP,RUGILABA,BLN,411.01.5012,,C0002,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1598,1,DTTMPLAP,RUGILABA,BLN,411.02.1001,,A2001,AHASS,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1600,1,DTTMPLAP,RUGILABA,BLN,411.02.1002,,A2001,AHASS,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1602,1,DTTMPLAP,RUGILABA,BLN,411.02.1101,,A2001,AHASS,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1604,1,DTTMPLAP,RUGILABA,BLN,411.02.2001,,A2001,AHASS,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1606,3,DTTMPLAP,RUGILABA,BLN,411.03.1001,,A2001,AHASS,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1608,5,DTTMPLAP,RUGILABA,BLN,411.03.1101,,A2001,AHASS,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1610,4,DTTMPLAP,RUGILABA,BLN,411.03.1201,TDK,A1001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
